code,name,price,detail,image,colorName,colorValue,stock,active
nn-019,Spaghetti crop top (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-019-spaghetti-crop-top-flowers.jpeg,A,"url('assets/images/patterns/flower-a.jpeg') center / cover no-repeat",1,TRUE
nn-019,Spaghetti crop top (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-019-spaghetti-crop-top-flowers.jpeg,B,"url('assets/images/patterns/flower-b.jpeg') center / cover no-repeat",1,TRUE
nn-019,Spaghetti crop top (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-019-spaghetti-crop-top-flowers.jpeg,C,"url('assets/images/patterns/flower-c.jpeg') center / cover no-repeat",1,TRUE
nn-019,Spaghetti crop top (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-019-spaghetti-crop-top-flowers.jpeg,D,"url('assets/images/patterns/flower-d.jpeg') center / cover no-repeat",1,TRUE
nn-020,Nunaa Shorts (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Hips 40"" • Length 14""",assets/images/products/nn-020-nunaa-shorts-flowers.jpeg,A,"url('assets/images/patterns/flower-a.jpeg') center / cover no-repeat",1,TRUE
nn-020,Nunaa Shorts (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Hips 40"" • Length 14""",assets/images/products/nn-020-nunaa-shorts-flowers.jpeg,B,"url('assets/images/patterns/flower-b.jpeg') center / cover no-repeat",1,TRUE
nn-020,Nunaa Shorts (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Hips 40"" • Length 14""",assets/images/products/nn-020-nunaa-shorts-flowers.jpeg,C,"url('assets/images/patterns/flower-c.jpeg') center / cover no-repeat",1,TRUE
nn-020,Nunaa Shorts (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Hips 40"" • Length 14""",assets/images/products/nn-020-nunaa-shorts-flowers.jpeg,D,"url('assets/images/patterns/flower-d.jpeg') center / cover no-repeat",1,TRUE
nn-021,Puff Sleeve (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-021-puff-sleeve-flowers.jpeg,A,"url('assets/images/patterns/flower-a.jpeg') center / cover no-repeat",1,TRUE
nn-021,Puff Sleeve (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-021-puff-sleeve-flowers.jpeg,B,"url('assets/images/patterns/flower-b.jpeg') center / cover no-repeat",1,TRUE
nn-021,Puff Sleeve (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-021-puff-sleeve-flowers.jpeg,C,"url('assets/images/patterns/flower-c.jpeg') center / cover no-repeat",1,TRUE
nn-021,Puff Sleeve (Flowers collection),290,"Salou cotton • Chest 26""-36"" • Length 13"" (excluding straps)",assets/images/products/nn-021-puff-sleeve-flowers.jpeg,D,"url('assets/images/patterns/flower-d.jpeg') center / cover no-repeat",1,TRUE
nn-022,Skirt (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Length 15""",assets/images/products/nn-022-skirt-flowers.jpeg,A,"url('assets/images/patterns/flower-a.jpeg') center / cover no-repeat",1,TRUE
nn-022,Skirt (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Length 15""",assets/images/products/nn-022-skirt-flowers.jpeg,B,"url('assets/images/patterns/flower-b.jpeg') center / cover no-repeat",1,TRUE
nn-022,Skirt (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Length 15""",assets/images/products/nn-022-skirt-flowers.jpeg,C,"url('assets/images/patterns/flower-c.jpeg') center / cover no-repeat",1,TRUE
nn-022,Skirt (Flowers collection),350,"Salou cotton • Waist 24""-36"" • Length 15""",assets/images/products/nn-022-skirt-flowers.jpeg,D,"url('assets/images/patterns/flower-d.jpeg') center / cover no-repeat",1,TRUE
