code,name,price,detail,image,colorName,colorValue,stock,active
nn-001,Pumpkins crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-001-pumpkins-crop-top.jpeg,ขาว,#edf1ee,1,TRUE
nn-001,Pumpkins crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-001-pumpkins-crop-top.jpeg,ชมพูอ่อน,#e9bdc0,1,TRUE
nn-001,Pumpkins crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-001-pumpkins-crop-top.jpeg,ส้มอิฐ,#bb4a33,1,TRUE
nn-001,Pumpkins crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-001-pumpkins-crop-top.jpeg,แดงไวน์,#9e1c36,1,TRUE
nn-001,Pumpkins crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-001-pumpkins-crop-top.jpeg,ดำ,#101010,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,ขาว,#edf1ee,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,ชมพูอ่อน,#e9bdc0,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,คอรัล,#d66960,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,ส้มอิฐ,#bb4a33,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,แดงไวน์,#9e1c36,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,เทาเบจ,#8d867c,1,TRUE
nn-002,Nunaa crop top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-002-nunaa-crop-top.jpeg,ดำ,#101010,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,ขาว,#edf1ee,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,ชมพูอ่อน,#e9bdc0,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,ชมพูกะปิ,#de9298,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,คอรัล,#d66960,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,ส้มอิฐ,#bb4a33,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,แดงไวน์,#9e1c36,1,TRUE
nn-003,Spaghetti strap top,250,"Cotton • Chest 24""-36""",assets/images/products/nn-003-spaghetti-strap-top.jpeg,ดำ,#101010,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,ขาว,#edf1ee,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,ชมพูอ่อน,#e9bdc0,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,ชมพูกะปิ,#de9298,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,ส้มอิฐ,#bb4a33,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,แดงไวน์,#9e1c36,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,ฟ้าเทา,#6f7f90,1,TRUE
nn-004,Spaghetti crop top,250,"Cotton • Chest 26""-36""",assets/images/products/nn-004-spaghetti-crop-top.jpeg,ดำ,#101010,1,TRUE
nn-005,Spaghetti crop top linen fabric,290,"Linen • Chest 26""-36""",assets/images/products/nn-005-spaghetti-crop-top-linen.jpeg,ลายผ้าลินิน,"linear-gradient(135deg, #f2eadb 0 35%, #b8a58a 35% 50%, #f7f4ec 50% 68%, #6f7374 68% 100%)",1,TRUE
